tweet_id,tweet_text,c_and_g,category,organization,clean_text
719331238868180992,1 strong punishmnt cn prevent a lot of crimes in future.Let THIS b the one for minor driving. #JusticeForSidd @DelhiPolice @DCP_North_Delhi,0,,DelhiPolice,1 strong punishmnt cn prevent a lot of crimes in futurelet this b the one for minor driving
719332879075946496,My PERSONAL view- Father should go to jail too.We should learn to handle our kids &amp; cars.. #JusticeForSidd @DelhiPolice @DCP_North_Delhi,0,,DelhiPolice,my personal view father should go to jail toowe should learn to handle our kids and cars
719338371823321088,Dear @DelhiPolice arrest this useless lady she spreading hatred.I dn't knw wat is link btwn BMJk &amp; this incidence? https://t.co/24Cl8q60Gd,1,E-CRIME,DelhiPolice,dear arrest this useless lady she spreading hatredi dnt knw wat is link btwn bmjk and this incidence
719338460767608833,The minor was challand thrice last yr.But WHY challaned?Why wasnt stricter action taken agnst minor drivng?Cud hv saved a life! @dtptraffic,1,MINOR,dtptraffic,the minor was challand thrice last yrbut why challanedwhy wasnt stricter action taken agnst minor drivngcud hv saved a life
719346355366273025,@dtptraffic reckless driving by underage kids at Roop Nagar round about  esp. Early morning. Danger to self &amp; school going kids,1,MINOR,dtptraffic,reckless driving by underage kids at roop nagar round about esp early morning danger to self and school going kids
719352429116928000,@RailMinIndia Request to run a unresrvd express train from UMB to DLI at 6 AM from UMB &amp; DLI 10 AM with same stops of 11078 Jhelum.,1,suggestion,RailMinIndia,request to run a unresrvd express train from umb to dli at 6 am from umb and dli 10 am with same stops of 11078 jhelum
719352834722934784,@vinodunny @dtptraffic please please help... Traffic chaos from Khanpur to tigri... M.B.road,1,JAM,dtptraffic,please please help traffic chaos from khanpur to tigri mbroad
719354872219369473,@drm_kir @RailMinIndia Pity condition of toilet of B_11  12424. Complaint to 09717630982 but of no use.Please intervene.,1,dirty,RailMinIndia,pity condition of toilet of b11 12424 complaint to 09717630982 but of no useplease intervene
719357502840811520,Retweeted PRO CR (@PRO_CRly):  Expect more rail services as CR completes DC to AC conversion - HT @RailMinIndia... https://t.co/5MSj9btIt0,0,,RailMinIndia,retweeted pro cr expect more rail services as cr completes dc to ac conversion ht
719359660461953024,@dtptraffic  sir please send technical team to check red light at golok dham Chowk Rd at dwarka sec 6-10  not working from yesterday,1,LIGHT,dtptraffic,sir please send technical team to check red light at golok dham chowk rd at dwarka sec 610 not working from yesterday
