id,timestamp,username,tweet_text
1,2025-10-17,@user195,Dustbins are overflowing again (Sanitation)
2,2025-10-25,@user114,Quick response by electricity board today (Electricity)
3,2025-10-19,@user151,Helpline number is always busy (Digital Services)
4,2025-10-15,@user139,Good response from e-governance team (Digital Services)
5,2025-10-25,@user76,Online complaint portal not working (Digital Services)
6,2025-10-05,@user103,Road widening work going on smoothly (Roads)
7,2025-10-18,@user47,Transport dept doing good work (Transport)
8,2025-10-16,@user172,Helpline number is always busy (Digital Services)
9,2025-10-12,@user158,Quick response by electricity board today (Electricity)
10,2025-10-19,@user161,Low water pressure in my area (Water Supply)
11,2025-10-10,@user9,Frequent power outage in evening (Electricity)
12,2025-10-09,@user16,Free health camp was very helpful (Healthcare)
13,2025-10-23,@user72,Bus stop shelter broken at my area (Transport)
14,2025-10-09,@user193,Dustbins are overflowing again (Sanitation)
15,2025-10-06,@user85,Great work by sanitation workers (Sanitation)
16,2025-10-06,@user115,Heavy traffic due to poor road condition (Roads)
17,2025-10-07,@user167,No water supply since morning (Water Supply)
18,2025-10-25,@user152,Transport dept doing good work (Transport)
19,2025-10-14,@user82,Power cut since 2 hours (Electricity)
20,2025-10-24,@user125,Digital payment feature is convenient (Digital Services)
21,2025-10-12,@user42,Ambulance arrived quickly (Healthcare)
22,2025-10-10,@user61,"Clean drinking water provided, thanks! (Water Supply)"
23,2025-10-10,@user168,"Clean streets today, good job bmc (Sanitation)"
24,2025-10-13,@user197,Appreciate smart classroom initiative (Education)
25,2025-10-16,@user109,Free health camp was very helpful (Healthcare)
26,2025-10-19,@user43,Voltage fluctuation damaging appliances (Electricity)
27,2025-10-17,@user165,Nice job on new flyover construction (Roads)
28,2025-10-14,@user113,No water supply since morning (Water Supply)
29,2025-10-12,@user195,Frequent power outage in evening (Electricity)
30,2025-10-24,@user37,Road repair delayed again (Roads)
31,2025-10-05,@user39,Appreciate the new medical center (Healthcare)
32,2025-10-17,@user177,Potholes everywhere on main road (Roads)
